,kieskringId,id,affid,firstname,initials,prefix,lastname,gender,gemeentenaam,gemeentecode,provincienaam,provinciecode
12749,13,5,13,Alexander,J.H.N.A.,,Sassen,male,Koggenland,GM1598,Noord-Holland,PV27
12750,13,6,13,Michel,M.A.J.,,Versteeg,male,IJsselstein,GM0353,Utrecht,PV26
12751,13,7,13,Jan,J.M.,de,Laat,male,Gouda,GM0513,Zuid-Holland,PV28
12752,13,8,13,Symen,S.,van der,Meer,male,Hoorn,GM0405,Noord-Holland,PV27
12753,13,9,13,Peter,P.C.,,Vermaas,male,Enschede,GM0153,Overijssel,PV23
12754,13,10,13,Jeffrey,J.,,Himpers,male,Aalburg,GM0738,Noord-Brabant,PV30
12755,13,11,13,René,R.J.H.,van,Gemert,male,Eindhoven,GM0772,Noord-Brabant,PV30
12756,13,12,13,Johan,H.J.,,Oosterhagen,male,Leiden,GM0546,Zuid-Holland,PV28
12757,13,13,13,Johan,J.F.H.,,Molema,male,Amsterdam,GM0363,Noord-Holland,PV27
12758,13,14,13,Arjan,A.L.M.,de,Gast,male,AlphenaandenRijn,GM0484,Zuid-Holland,PV28
12759,13,15,13,Sachin,A.S.,,Chandarsing,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
12760,13,16,13,Ronald,R.,van,Tiggelen,male,Zandvoort,GM0473,Noord-Holland,PV27
12761,13,17,13,Chris,C.G.,de,Veth,male,Amstelveen,GM0362,Noord-Holland,PV27
12762,13,18,13,Laurence,L.J.A.J.,,Stassen,female,Echt-Susteren,GM1711,Limburg,PV31
12763,13,1,14,Tunahan,T.,,Kuzu,male,Rotterdam,GM0599,Zuid-Holland,PV28
12764,13,2,14,Farid,F.,,Azarkan,male,Culemborg,GM0216,Gelderland,PV25
12765,13,3,14,Selcuk,S.,,Öztürk,male,Roermond,GM0957,Limburg,PV31
12766,13,4,14,Gladys,G.,,Albitrouw,female,Rotterdam,GM0599,Zuid-Holland,PV28
12767,13,5,14,Stephan,S.R.T.,van,Baarle,male,Rotterdam,GM0599,Zuid-Holland,PV28
12768,13,6,14,Magdalena,M.J.H.,,Charlot,female,Lelystad,GM0995,Flevoland,PV24
12769,13,7,14,Mourad,M.,,Taimounti,male,Amsterdam,GM0363,Noord-Holland,PV27
12770,13,8,14,Ayşegül,A.,,Kiliç,female,Amsterdam,GM0363,Noord-Holland,PV27
12771,13,9,14,Marisa,M.M.,,Koolbergen,female,Alkmaar,GM0361,Noord-Holland,PV27
12772,13,10,14,Ali,A.,,Tsouli,male,Breda,GM0758,Noord-Brabant,PV30
12773,13,11,14,Marit,M.,van,Splunter,female,Zwolle,GM0193,Overijssel,PV23
12774,13,12,14,Şerif,Ş.,,Uysal,male,Middelburg,GM0687,Zeeland,PV29
12775,13,13,14,Rabia,R.,,Karaman,female,Arnhem,GM0202,Gelderland,PV25
12776,13,14,14,Talhat,T.M.,,Raja,male,Rotterdam,GM0599,Zuid-Holland,PV28
12777,13,15,14,Yunus,Y.,,Kayiş,male,Rotterdam,GM0599,Zuid-Holland,PV28
12778,13,16,14,Zaheer,M.Z.T.,,Rana,male,Nissewaard,GM1930,Zuid-Holland,PV28
12779,13,17,14,Nevzat,N.,,Demirel,male,Tiel,GM0281,Gelderland,PV25
12780,13,18,14,Keziban,K.,,Ince,female,Rotterdam,GM0599,Zuid-Holland,PV28
12781,13,1,15,Alfred,A.,,Oosenbrug,male,Zoetermeer,GM0637,Zuid-Holland,PV28
12782,13,2,15,Jacques,J.S.,,Monasch,male,Súdwest-Fryslân,GM1900,Friesland,PV21
12783,13,3,15,Ramona,R.J.C.,,Beemsterboer,female,Blaricum,GM0376,Noord-Holland,PV27
12784,13,4,15,Iprahim,I.,,Ekiz,male,Haarlem,GM0392,Noord-Holland,PV27
12785,13,5,15,Ton,A.W.,,Spitsbaard,male,Zoetermeer,GM0637,Zuid-Holland,PV28
12786,13,6,15,Wendy,G.C.J.,,Vianen-van der Geest,female,Westland,GM1783,Zuid-Holland,PV28
12787,13,7,15,Kees,C.H.,van,Leeuwen,male,Meppel,GM0119,Drenthe,PV22
12788,13,8,15,Arjan,A.,van,Duijvenvoorde,male,AlphenaandenRijn,GM0484,Zuid-Holland,PV28
12789,13,9,15,Inge,I.C.A.M.,,Jochems,female,Zundert,GM0879,Noord-Brabant,PV30
12790,13,10,15,Sietze Jan,S.J.,,Dijkstra,male,Zoetermeer,GM0637,Zuid-Holland,PV28
12791,13,11,15,Romeo,R.M.H.,,Durgaram,male,Amersfoort,GM0307,Utrecht,PV26
12792,13,12,15,Yvonne,Y.,de,Vries,female,Wassenaar,GM0629,Zuid-Holland,PV28
12793,13,13,15,Jaco,J.H.M.,,Verstappen,male,PeelenMaas,GM1894,Limburg,PV31
12794,13,14,15,Bo,I.S.L.,van,Scheyen,female,Vlissingen,GM0718,Zeeland,PV29
12795,13,15,15,David,B.D.,de,Jong,male,Smallingerland,GM0090,Friesland,PV21
12796,13,16,15,George,G.L.F.,van,Leeuwen,male,Haarlemmermeer,GM0394,Noord-Holland,PV27
12797,13,17,15,Jeanet,J.,,Pijpker,female,AlphenaandenRijn,GM0484,Zuid-Holland,PV28
12798,13,18,15,Erik,D.A.,van,Eldik,male,Meppel,GM0119,Drenthe,PV22
12799,13,19,15,Hanneke,J.S.A.,,Willemstein,female,Alphen-Chaam,GM1723,Noord-Brabant,PV30
12800,13,20,15,Eddie,E.,,Komdeur,male,Súdwest-Fryslân,GM1900,Friesland,PV21
12801,13,21,15,Roelof,R.G.,van,Dijken,male,Harderwijk,GM0243,Gelderland,PV25
12802,13,22,15,Roelof,R.,,Heyser,male,Almere,GM0034,Flevoland,PV24
12803,13,23,15,Ruud,R.,van,Gessel,male,Amsterdam,GM0363,Noord-Holland,PV27
12804,13,24,15,Marco,M.H.D.,,Haak,male,Emmen,GM0114,Drenthe,PV22
12805,13,25,15,John,J.H.,,Thiemann,male,Maastricht,GM0935,Limburg,PV31
12806,13,26,15,Jorik,K.J.J.,,Visscher,male,Utrecht,GM0344,Utrecht,PV26
12807,13,27,15,Jana,J.,,Hurtado-Panek,female,Zoetermeer,GM0637,Zuid-Holland,PV28
12808,13,28,15,Wim,W.L.,van der,Maas,male,Rotterdam,GM0599,Zuid-Holland,PV28
12809,13,29,15,Simone,S.,de,Boer,female,Tiel,GM0281,Gelderland,PV25
12810,13,30,15,Leo,L.G.H.,,Buchel,male,Amsterdam,GM0363,Noord-Holland,PV27
12811,13,1,16,Thierry,T.H.P.,,Baudet,male,Amsterdam,GM0363,Noord-Holland,PV27
12812,13,2,16,Theo,T.U.,,Hiddema,male,Maastricht,GM0935,Limburg,PV31
12813,13,3,16,Susan,S.M.,,Teunissen,female,Utrecht,GM0344,Utrecht,PV26
12814,13,4,16,Henk,H.,,Otten,male,Amsterdam,GM0363,Noord-Holland,PV27
12815,13,5,16,Paul,P.M.L.,,Frentrop,male,Bloemendaal,GM0377,Noord-Holland,PV27
12816,13,6,16,Rob,R.J.,,Rooken,male,GooiseMeren,GM1942,Noord-Holland,PV27
12817,13,7,16,Susan,S.E.,,Stolze-van Rijn,female,Rotterdam,GM0599,Zuid-Holland,PV28
12818,13,8,16,Gert,G.P.,,Reedijk,male,Zwolle,GM0193,Overijssel,PV23
12819,13,9,16,Yernaz,Y.J.S.,,Ramautarsing,male,Amsterdam,GM0363,Noord-Holland,PV27
12820,13,10,16,Zlata,Z.M.A.,,Brouwer,female,Hilversum,GM0402,Noord-Holland,PV27
12821,13,11,16,Jeroen,J.W.E.,de,Vries,male,Amsterdam,GM0363,Noord-Holland,PV27
12822,13,12,16,Arthur,A.L.,,Legger,male,Amsterdam,GM0363,Noord-Holland,PV27
12823,13,13,16,Carola,C.A.,,Dieudonné,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
