,kieskringId,id,affid,firstname,initials,prefix,lastname,gender,gemeentenaam,gemeentecode,provincienaam,provinciecode
0,9,1,1,Mark,M.,,Rutte,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
1,9,2,1,Edith,E.I.,,Schippers,female,Baarn,GM0308,Utrecht,PV26
2,9,3,1,Stef,S.A.,,Blok,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
3,9,4,1,Anouchka,A.,van,Miltenburg,female,Zaltbommel,GM0297,Gelderland,PV25
4,9,5,1,Fred,F.,,Teeven,male,Amsterdam,GM0363,Noord-Holland,PV27
5,9,6,1,Jeanine,J.A.,,Hennis-Plasschaert,female,Wijdemeren,GM1696,Noord-Holland,PV27
6,9,7,1,Halbe,H.,,Zijlstra,male,Wassenaar,GM0629,Zuid-Holland,PV28
7,9,8,1,Frans,F.H.H.,,Weekers,male,Weert,GM0988,Limburg,PV31
8,9,9,1,Mark,M.G.J.,,Harbers,male,Rotterdam,GM0599,Zuid-Holland,PV28
9,9,10,1,Tamara,T.,,Venrooy-van Ark,female,Zuidplas,GM1892,Zuid-Holland,PV28
10,9,11,1,Betty,B.G.,de,Boer,female,Groningen,GM0014,Groningen,PV20
11,9,12,1,Han,J.H.,ten,Broeke,male,Haaksbergen,GM0158,Overijssel,PV23
12,9,13,1,Cora,C.,van,Nieuwenhuizen-Wijbenga,female,Oisterwijk,GM0824,Noord-Brabant,PV30
13,9,14,1,Helma,H.,,Neppérus,female,Voorschoten,GM0626,Zuid-Holland,PV28
14,9,15,1,Ard,G.A.,van der,Steur,male,Teylingen,GM1525,Zuid-Holland,PV28
15,9,16,1,Klaas,K.H.D.M.,,Dijkhoff,male,Breda,GM0758,Noord-Brabant,PV30
16,9,17,1,Ton,T.M.C.,,Elias,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
17,9,18,1,Anne,A.,,Mulder,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
18,9,19,1,Mark,M.L.,,Verheijen,male,Venlo,GM0983,Limburg,PV31
19,9,20,1,Malik,M.,,Azmani,male,Ommen,GM0175,Overijssel,PV23
20,9,21,1,Barbara,B.,,Visser,female,Zaanstad,GM0479,Noord-Holland,PV27
21,9,22,1,Helma,W.J.H.,,Lodders,female,Zeewolde,GM0050,Flevoland,PV24
22,9,23,1,Pieter,P.J.,,Duisenberg,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
23,9,24,1,Erik,E.,,Ziengs,male,Assen,GM0106,Drenthe,PV22
24,9,25,1,Pieter,P.J.M.,,Litjens,male,Aalsmeer,GM0358,Noord-Holland,PV27
25,9,26,1,Brigitte,B.I.,van der,Burg,female,Lansingerland,GM1621,Zuid-Holland,PV28
26,9,27,1,Bas,B.,van 't,Wout,male,Amsterdam,GM0363,Noord-Holland,PV27
27,9,28,1,Anne-Wil,A.W.,,Lucas-Smeerdijk,female,Opsterland,GM0086,Friesland,PV21
28,9,29,1,André,A.,,Bosman,male,Middelburg,GM0687,Zeeland,PV29
29,9,30,1,René,R.W.,,Leegte,male,Amersfoort,GM0307,Utrecht,PV26
30,9,31,1,Remco,R.J.,,Dijkstra,male,Buren,GM0214,Gelderland,PV25
31,9,32,1,Ockje,O.C.,,Tellegen,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
32,9,33,1,Foort,F.,van,Oosten,male,Schiedam,GM0606,Zuid-Holland,PV28
33,9,34,1,Karin,K.C.J.,,Straus,female,Roermond,GM0957,Limburg,PV31
34,9,35,1,Matthijs,M.E.,,Huizing,male,Oegstgeest,GM0579,Zuid-Holland,PV28
35,9,36,1,Bart,B.C.,de,Liefde,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
36,9,37,1,Michiel,M.S.,van,Veen,male,Cuijk,GM1684,Noord-Brabant,PV30
37,9,38,1,Arno,A.C.L.,,Rutte,male,Groningen,GM0014,Groningen,PV20
38,9,39,1,Ybeltje,Y.,,Berckmoes-Duindam,female,DenHelder,GM0400,Noord-Holland,PV27
39,9,40,1,Anoushka,A.,,Schut-Welkzijn,female,Amsterdam,GM0363,Noord-Holland,PV27
40,9,41,1,Ingrid,I.S.H.,de,Caluwé,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
41,9,42,1,Roald,R.E.,van der,Linde,male,Rotterdam,GM0599,Zuid-Holland,PV28
42,9,43,1,Johan,J.,,Houwers,male,Winterswijk,GM0294,Gelderland,PV25
43,9,44,1,Joost,J.,,Taverne,male,Amstelveen,GM0362,Noord-Holland,PV27
44,9,45,1,Aukje,A.,de,Vries,female,Leeuwarden,GM0080,Friesland,PV21
