,kieskringId,id,affid,firstname,initials,prefix,lastname,gender,gemeentenaam,gemeentecode,provincienaam,provinciecode
0,9,1,1,Dilan,D.,,Yeşilgöz,female,Amsterdam,GM0363,Noord-Holland,PV27
1,9,2,1,Sophie,S.T.M.,,Hermans,female,StichtseVecht,GM1904,Utrecht,PV26
2,9,3,1,Bente,B.,,Becker,female,Wassenaar,GM0629,Zuid-Holland,PV28
3,9,4,1,Eric,E.,van der,Burg,male,Amsterdam,GM0363,Noord-Holland,PV27
4,9,5,1,Christianne,C.,van der,Wal-Zeggelink,female,Harderwijk,GM0243,Gelderland,PV25
5,9,6,1,Ruben,R.P.,,Brekelmans,male,Oisterwijk,GM0824,Noord-Brabant,PV30
6,9,7,1,Eelco,E.,,Heinen,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
7,9,8,1,Aukje,A.,de,Vries,female,Leeuwarden,GM0080,Fryslân,PV21
8,9,9,1,Roelien,R.J.,,Kamminga,female,Midden-Groningen,GM1952,Groningen,PV20
9,9,10,1,Mariëlle,M.L.J.,,Paul,female,Amsterdam,GM0363,Noord-Holland,PV27
10,9,11,1,Silvio,S.P.A.,,Erkens,male,Kerkrade,GM0928,Limburg,PV31
11,9,12,1,Queeny,Q.M.,,Rajkowski,female,Utrecht,GM0344,Utrecht,PV26
12,9,13,1,Thierry,A.A.,,Aartsen,male,Drimmelen,GM1719,Noord-Brabant,PV30
13,9,14,1,Thom,A.A.H.,van,Campen,male,Zwolle,GM0193,Overijssel,PV23
14,9,15,1,Judith,J.Z.C.M.,,Tielen,female,Utrecht,GM0344,Utrecht,PV26
15,9,16,1,Hester,H.N.,,Veltman-Kamp,female,Ede,GM0228,Gelderland,PV25
16,9,17,1,Wendy,W.P.J.,van,Eijk-Nagel,female,Weert,GM0988,Limburg,PV31
17,9,18,1,Ulysse,U.,,Ellian,male,Almere,GM0034,Flevoland,PV24
18,9,19,1,Ingrid,I.J.M.,,Michon-Derkzen,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
19,9,20,1,Claire,C.,,Martens-America,female,Amsterdam,GM0363,Noord-Holland,PV27
20,9,21,1,Wim,W.J.H.,,Meulenkamp,male,HofvanTwente,GM1735,Overijssel,PV23
21,9,22,1,Peter,P.C.,de,Groot,male,Harderwijk,GM0243,Gelderland,PV25
22,9,23,1,Arend,A.,,Kisteman,male,Zwolle,GM0193,Overijssel,PV23
23,9,24,1,Daan,A.H.J.,de,Kort,male,Veldhoven,GM0861,Noord-Brabant,PV30
24,9,25,1,Jacqueline,J.,van den,Hil,female,Goes,GM0664,Zeeland,PV29
25,9,26,1,Peter,P.J.,,Valstar,male,Westland,GM1783,Zuid-Holland,PV28
26,9,27,1,Harry,H.,,Bevers,male,Leeuwarden,GM0080,Fryslân,PV21
27,9,28,1,Martijn,M.R.G.,,Buijsse,male,Boekel,GM0755,Noord-Brabant,PV30
28,9,29,1,Rosemarijn,R.M.,,Dral,female,Oostzaan,GM0431,Noord-Holland,PV27
29,9,30,1,Bart,B.T.,,Bikkers,male,Vlaardingen,GM0622,Zuid-Holland,PV28
30,9,31,1,Ruud,R.,,Verkuijlen,male,Hilversum,GM0402,Noord-Holland,PV27
31,9,32,1,Simone,S.M.,,Richardson,female,Haarlemmermeer,GM0394,Noord-Holland,PV27
32,9,33,1,Martin,M.E.E.,de,Beer,male,Heerlen,GM0917,Limburg,PV31
33,9,34,1,Pim,P.J.T.,van,Strien,male,Haarlem,GM0392,Noord-Holland,PV27
34,9,35,1,Jeroen,R.J.J.,,Hartsuiker,male,Emmen,GM0114,Drenthe,PV22
35,9,36,1,Hester,H.,,Klein Lankhorst,female,DeBilt,GM0310,Utrecht,PV26
36,9,37,1,Erik,E.A.,,Haverkort,male,Lochem,GM0262,Gelderland,PV25
37,9,38,1,Chris,C.,,Simons,male,Middelburg,GM0687,Zeeland,PV29
38,9,39,1,Yvonne,Y.,,Bijenhof,female,Almelo,GM0141,Overijssel,PV23
39,9,40,1,Dieke,D.A.,van,Groningen,female,Rotterdam,GM0599,Zuid-Holland,PV28
40,9,41,1,Ellis,E.M.,,Zeeuw van der Laan,female,Hilversum,GM0402,Noord-Holland,PV27
41,9,42,1,Youri,Y.,,Volkman,male,Schiedam,GM0606,Zuid-Holland,PV28
42,9,43,1,Peter,P.W.,van,Kessel,male,Haarlem,GM0392,Noord-Holland,PV27
43,9,44,1,Hawre,H.,,Rahimi,male,Amsterdam,GM0363,Noord-Holland,PV27
44,9,45,1,Bart,B.F.,,Omlo,male,Ede,GM0228,Gelderland,PV25
45,9,46,1,Remco,R.A.T.,,Yizhak Cooremans,male,Amsterdam,GM0363,Noord-Holland,PV27
46,9,47,1,Mirjam,R.M.L.,,Nelisse,female,Goeree-Overflakkee,GM1924,Zuid-Holland,PV28
47,9,48,1,Bas,B.G.P.,de,Wit,male,Medemblik,GM0420,Noord-Holland,PV27
48,9,49,1,Miriam,M.A.,van,Meerten-Kok,female,GooiseMeren,GM1942,Noord-Holland,PV27
49,9,50,1,Barry,B.,,Hoogezand,male,Dronten,GM0303,Flevoland,PV24
50,9,51,1,Mark,M.,,Achterbergh,male,Haarlemmermeer,GM0394,Noord-Holland,PV27
51,9,52,1,Hilde,H.,,Wendel,female,Groningen,GM0014,Groningen,PV20
52,9,53,1,Nupur,N.R.,,Kohli,female,Haarlemmermeer,GM0394,Noord-Holland,PV27
53,9,54,1,Ilona,I.C.,,Klerks,female,Waalwijk,GM0867,Noord-Brabant,PV30
54,9,55,1,Herre,H.M.,,Dijkema,male,Arnhem,GM0202,Gelderland,PV25
55,9,56,1,Anna,A.,,Elkerbout,female,Utrecht,GM0344,Utrecht,PV26
56,9,57,1,Dimitri,D.,van,Rijn,male,Delft,GM0503,Zuid-Holland,PV28
57,9,58,1,Berend,B.W.,,Aptroot,male,Zoetermeer,GM0637,Zuid-Holland,PV28
58,9,59,1,Lilianne,L.H.P.,de,Regt,female,Amsterdam,GM0363,Noord-Holland,PV27
59,9,60,1,Jaap,J.,van,Veen,male,Lelystad,GM0995,Flevoland,PV24
60,9,61,1,Marjolein,M.J.,,Vulpes,female,Midden-Groningen,GM1952,Groningen,PV20
61,9,62,1,Jasper,J.L.P.,van,Os,male,Noordoostpolder,GM0171,Flevoland,PV24
62,9,63,1,Roland,R.A.,van der,Klauw,male,Vijfheerenlanden,GM1961,Utrecht,PV26
63,9,64,1,Arash,A.,,Rahmani,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
64,9,65,1,Rick,R.A.,,Bouma,male,Noardeast-Fryslân,GM1970,Fryslân,PV21
65,9,66,1,Anne,J.T.M.,van,Berlo,female,Gemert-Bakel,GM1652,Noord-Brabant,PV30
66,9,67,1,Irma,A.E.,,Talens,female,Coevorden,GM0109,Drenthe,PV22
67,9,68,1,Rogier,R.N.,,Bruin,male,DenHelder,GM0400,Noord-Holland,PV27
68,9,69,1,Trudie,G.D.W.,van 't,Hull-Bettink,female,Haarlemmermeer,GM0394,Noord-Holland,PV27
69,9,70,1,Johan,J.A.N.,,Gadella,male,Nieuwegein,GM0356,Utrecht,PV26
70,9,71,1,Daan,D.,,Vermeulen,male,Houten,GM0321,Utrecht,PV26
71,9,72,1,Marijke,M.G.,van,Noort-Cnossen,female,Nieuwkoop,GM0569,Zuid-Holland,PV28
72,9,73,1,Monique,M.M.E.,Van der,Sanden,female,Utrecht,GM0344,Utrecht,PV26
73,9,74,1,Holger,H.,,Rodoe,male,Gennep,GM0907,Limburg,PV31
74,9,75,1,Cas,C.D.,,Schollink,male,Velsen,GM0453,Noord-Holland,PV27
75,9,76,1,Ivo,I.,de,Wolff,male,DeFryskeMarren,GM1940,Fryslân,PV21
76,9,77,1,Yldau,Y.,de,Boer,female,Opsterland,GM0086,Fryslân,PV21
77,9,78,1,Murat,M.,,Yildirim,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
