,kieskringId,id,affid,firstname,initials,prefix,lastname,gender,gemeentenaam,gemeentecode,provincienaam,provinciecode
0,9,1,1,Jan Peter,J.P.,,Balkenende,male,CapelleaandenIJssel,GM0502,Zuid-Holland,PV28
1,9,2,1,Ank,A.T.B.,,Bijleveld-Schouten,female,HofvanTwente,GM1735,Overijssel,PV23
2,9,3,1,Maxime,M.J.M.,,Verhagen,male,Leidschendam-Voorburg,GM1916,Zuid-Holland,PV28
3,9,4,1,Ab,A.,,Klink,male,Rotterdam,GM0599,Zuid-Holland,PV28
4,9,5,1,Marja,J.M.,van,Bijsterveldt-Vliegenthart,female,Midden-Delfland,GM1842,Zuid-Holland,PV28
5,9,6,1,Jan Kees,J.C.,de,Jager,male,Rotterdam,GM0599,Zuid-Holland,PV28
6,9,7,1,Joop,J.J.,,Atsma,male,Achtkarspelen,GM0059,Friesland,PV21
7,9,8,1,Elly,P.J.M.G.,,Blanksma-van den Heuvel,female,Eindhoven,GM0772,Noord-Brabant,PV30
8,9,9,1,Gerda,G.,,Verburg,female,Woerden,GM0632,Utrecht,PV26
9,9,10,1,Sybrand,S.,van,Haersma Buma,male,Leidschendam-Voorburg,GM1916,Zuid-Holland,PV28
10,9,11,1,Ger,G.P.J.,,Koopmans,male,Venlo,GM0983,Limburg,PV31
11,9,12,1,Henk Jan,H.J.,,Ormel,male,Bronckhorst,GM1876,Gelderland,PV25
12,9,13,1,Mirjam,W.R.C.,,Sterk,female,Houten,GM0321,Utrecht,PV26
13,9,14,1,Eddy,Y.J.,van,Hijum,male,Raalte,GM0177,Overijssel,PV23
14,9,15,1,Jack,J.G.,de,Vries,male,Leiderdorp,GM0547,Zuid-Holland,PV28
15,9,16,1,Margreeth,M.C.A.,,Smilde,female,Tynaarlo,GM1730,Drenthe,PV22
16,9,17,1,Madeleine,M.M.,van,Toorenburg,female,'s-Hertogenbosch,GM0796,Noord-Brabant,PV30
17,9,18,1,Coskun,C.,,Çörüz,male,Haarlem,GM0392,Noord-Holland,PV27
18,9,19,1,Kathleen,K.G.,,Ferrier,female,Leusden,GM0327,Utrecht,PV26
19,9,20,1,Ad,A.J.,,Koppejan,male,Veere,GM0717,Zeeland,PV29
20,9,21,1,Hanke,H.G.J.,,Bruins Slot,female,Utrecht,GM0344,Utrecht,PV26
21,9,22,1,Sander,S.,de,Rouwe,male,Bolsward,GM0064,Friesland,PV21
22,9,23,1,Raymond,R.W.,,Knops,male,HorstaandeMaas,GM1507,Limburg,PV31
23,9,24,1,Bas Jan,B.J.,van,Bochove,male,Lelystad,GM0995,Flevoland,PV24
24,9,25,1,Rikus,H.,,Jager,male,Appingedam,GM0003,Groningen,PV20
25,9,26,1,Maarten,M.C.,,Haverkamp,male,Wijdemeren,GM1696,Noord-Holland,PV27
26,9,27,1,Jan,J.,,Schinkelshoek,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
27,9,28,1,Jan Jacob,J.J.,van,Dijk,male,Culemborg,GM0216,Gelderland,PV25
28,9,29,1,Pieter,P.H.,,Omtzigt,male,Enschede,GM0153,Overijssel,PV23
29,9,30,1,Jack,J.J.G.M.,,Biskop,male,Roosendaal,GM1674,Noord-Brabant,PV30
30,9,31,1,Sabine,A.S.,,Uitslag,female,Olst-Wijhe,GM1773,Overijssel,PV23
31,9,32,1,Marieke,M.C.I.,van der,Werf,female,Amsterdam,GM0363,Noord-Holland,PV27
32,9,33,1,Michiel,M.P.M.,,Holtackers,male,Arnhem,GM0202,Gelderland,PV25
33,9,34,1,Ciska,F.,,Joldersma,female,Tilburg,GM0855,Noord-Brabant,PV30
34,9,35,1,Hein,H.T.M.,,Pieper,male,Deventer,GM0150,Overijssel,PV23
35,9,36,1,Joost,J.A.G.,,Verheijen,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
36,9,37,1,Jan,J.J.,,Mastwijk,male,Hoogeveen,GM0118,Drenthe,PV22
37,9,38,1,Martijn,M.J.F.,van,Helvert,male,Echt-Susteren,GM1711,Limburg,PV31
38,9,39,1,Alwin,A.E.,de,Jong,male,Amsterdam,GM0363,Noord-Holland,PV27
39,9,40,1,Jaco,J.L.,,Geurts,male,Barneveld,GM0203,Gelderland,PV25
40,9,41,1,Mustafa,M.,,Amhaouch,male,PeelenMaas,GM1894,Limburg,PV31
41,9,42,1,Arnoud,A.N.J.,,Strijbis,male,Goirle,GM0785,Noord-Brabant,PV30
42,9,43,1,Harry,H.,van der,Molen,male,Leeuwarden,GM0080,Friesland,PV21
43,9,44,1,Anke,A.A.H.C.M.,van,Extel-van Katwijk,female,Gemert-Bakel,GM1652,Noord-Brabant,PV30
44,9,45,1,Olger,O.C.,van,Dijk,male,Utrecht,GM0344,Utrecht,PV26
45,9,46,1,Anne-Marie,A.M.T.,,Vreman-Muijrers,female,Ede,GM0228,Gelderland,PV25
46,9,47,1,Dinand,E.D.,,Ekkel,male,Dronten,GM0303,Flevoland,PV24
47,9,48,1,Marga,M.M.D.,,Vermue-Vermue,female,Borsele,GM0654,Zeeland,PV29
48,9,49,1,Arinda,A.,,Callewaert-de Groot,female,Binnenmaas,GM0585,Zuid-Holland,PV28
49,9,50,1,Marijn,M.M.,,Noordam-ter Maat,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
50,9,51,1,Frank,F.J.M.,van,Kuppeveld,male,Pijnacker-Nootdorp,GM1926,Zuid-Holland,PV28
51,9,52,1,Monique,M.J.M.,,Smidt-Beudeker,female,Westerveld,GM1701,Drenthe,PV22
52,9,53,1,Gerben,G.A.,,Karssenberg,male,Arnhem,GM0202,Gelderland,PV25
53,9,54,1,Patricia,P.E.M.T.,,Assmann,female,Nijmegen,GM0268,Gelderland,PV25
54,9,55,1,Jan Folkert,J.F.,,Deinum,male,Groningen,GM0014,Groningen,PV20
55,9,56,1,Daniëlle,D.P.J.,van,Lith-Woestenberg,female,Eersel,GM0770,Noord-Brabant,PV30
56,9,57,1,Jobke,J.,,Vonk-Vedder,female,Abcoude,GM0305,Utrecht,PV26
57,9,58,1,Maarten,M.W.,,Offinga,male,Workum,GM0104,Friesland,PV21
58,9,59,1,Marja,M.E.,,Kwast-van Duursen,female,Reeuwijk,GM0595,Zuid-Holland,PV28
59,9,60,1,Jan,J.D.,,Kramer,male,Langedijk,GM0416,Noord-Holland,PV27
60,9,61,1,David,D.L.,,Moolenburgh,male,Middelburg,GM0687,Zeeland,PV29
61,9,62,1,Elsa,E.,,Rijssenbeek-van Pijkeren,female,Barneveld,GM0203,Gelderland,PV25
62,9,63,1,Guus,A.A.W.G.,,Mulders,male,Oisterwijk,GM0824,Noord-Brabant,PV30
63,9,64,1,Martijn,M.B.,de,Haas,male,Rotterdam,GM0599,Zuid-Holland,PV28
64,9,65,1,Erik,H.C.A.M.,van den,Oord,male,Oirschot,GM0823,Noord-Brabant,PV30
65,9,66,1,Erna,H.M.W.M.,van de,Ven,female,MookenMiddelaar,GM0944,Limburg,PV31
66,9,67,1,Mona,M.C.G.,,Keijzer,female,Purmerend,GM0439,Noord-Holland,PV27
67,9,68,1,Brigit,B.E.H.,,Homan,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
68,9,69,1,Marij,M.H.,,Cox-Sevenich,female,Roermond,GM0957,Limburg,PV31
69,9,70,1,Clazinus,C.J.,,Netjes,male,Steenwijkerland,GM1708,Overijssel,PV23
70,9,71,1,Sjoerd,S.J.J.,,Meulensteen,male,Arnhem,GM0202,Gelderland,PV25
71,9,72,1,Willem,W.G.J.,,Ketelaars,male,GilzeenRijen,GM0784,Noord-Brabant,PV30
72,9,73,1,Rex,R.,,Arendsen,male,Putten,GM0273,Gelderland,PV25
73,9,74,1,Yang Soo,D.Y.S.,,Kloosterhof,male,Appingedam,GM0003,Groningen,PV20
74,9,75,1,Peter,P.H.,,Ruys,male,Amsterdam,GM0363,Noord-Holland,PV27
75,9,1,2,Job,M.J.,,Cohen,male,Amsterdam,GM0363,Noord-Holland,PV27
76,9,2,2,Nebahat,N.,,Albayrak,female,Rotterdam,GM0599,Zuid-Holland,PV28
77,9,3,2,Ronald,R.H.A.,,Plasterk,male,Bussum,GM0381,Noord-Holland,PV27
78,9,4,2,Mariëtte,M.I.,,Hamer,female,Maassluis,GM0556,Zuid-Holland,PV28
79,9,5,2,Jeroen,J.R.V.A.,,Dijsselbloem,male,Wageningen,GM0289,Gelderland,PV25
80,9,6,2,Jetta,J.,,Klijnsma,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
81,9,7,2,Diederik,D.M.,,Samsom,male,Leiden,GM0546,Zuid-Holland,PV28
82,9,8,2,Gerdi,G.A.,,Verbeet,female,Amsterdam,GM0363,Noord-Holland,PV27
83,9,9,2,Frans,F.C.G.M.,,Timmermans,male,Heerlen,GM0917,Limburg,PV31
84,9,10,2,Sharon,S.A.M.,,Dijksma,female,Enschede,GM0153,Overijssel,PV23
85,9,11,2,Hans,J.L.,,Spekman,male,Utrecht,GM0344,Utrecht,PV26
86,9,12,2,Angelien,A.M.C.,,Eijsink,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
87,9,13,2,Martijn,M.H.P.,van,Dam,male,Utrecht,GM0344,Utrecht,PV26
88,9,14,2,Attje,A.H.,,Kuiken,female,Breda,GM0758,Noord-Brabant,PV30
89,9,15,2,Ahmed,A.,,Marcouch,male,Amsterdam,GM0363,Noord-Holland,PV27
90,9,16,2,Roos,R.A.,,Vermeij,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
91,9,17,2,Ed,V.A.,,Groot,male,Amsterdam,GM0363,Noord-Holland,PV27
92,9,18,2,Sjoera,S.W.,,Dikkers,female,Haarlem,GM0392,Noord-Holland,PV27
93,9,19,2,Pierre,P.M.M.,,Heijnen,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
94,9,20,2,Lea,L.T.,,Bouwmeester,female,Almere,GM0034,Flevoland,PV24
95,9,21,2,Jeroen,J.,,Recourt,male,Buitenland,GM9999,Buitenland,PV99
96,9,22,2,Agnes,A.G.,,Wolbert,female,AaenHunze,GM1680,Drenthe,PV22
97,9,23,2,Eelke,E.,van der,Veen,male,Nieuwegein,GM0356,Utrecht,PV26
98,9,24,2,Pauline,P.E.,,Smeets,female,Sittard-Geleen,GM1883,Limburg,PV31
99,9,25,2,Metin,M.,,Çelik,male,Rotterdam,GM0599,Zuid-Holland,PV28
100,9,26,2,Lutz,L.,,Jacobi,female,Boarnsterhim,GM0055,Friesland,PV21
101,9,27,2,Tjeerd,T.R.,van,Dekken,male,Groningen,GM0014,Groningen,PV20
102,9,28,2,Tanja,T.M.,,Jadnanansing,female,Amsterdam,GM0363,Noord-Holland,PV27
103,9,29,2,Jacques,J.S.,,Monasch,male,Sneek,GM0091,Friesland,PV21
104,9,30,2,Khadija,K.,,Arib,female,Amsterdam,GM0363,Noord-Holland,PV27
105,9,31,2,Jeroen,J.,de,Lange,male,Buitenland,GM9999,Buitenland,PV99
106,9,32,2,Myrthe,M.,,Hilkens,female,Bloemendaal,GM0377,Noord-Holland,PV27
107,9,33,2,John,J.A.W.J.,,Leerdam,male,Amsterdam,GM0363,Noord-Holland,PV27
108,9,34,2,Margot,M.,,Kraneveldt-van der Veen,female,Zoetermeer,GM0637,Zuid-Holland,PV28
109,9,35,2,Mohamed,M.,,Mohandis,male,Gouda,GM0513,Zuid-Holland,PV28
110,9,36,2,Lia,C.W.J.M.,,Roefs,female,Bergen(L.),GM0893,Limburg,PV31
111,9,37,2,Jan,A.J.W.,,Boelhouwer,male,Tilburg,GM0855,Noord-Brabant,PV30
112,9,38,2,Mei Li,M.L.,,Vos,female,Amsterdam,GM0363,Noord-Holland,PV27
113,9,39,2,Henk,H.,,Nijboer,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
114,9,40,2,Anja,A.J.,,Timmer,female,Hengelo,GM0164,Overijssel,PV23
115,9,41,2,Paul,P.,,Kalma,male,Amsterdam,GM0363,Noord-Holland,PV27
116,9,42,2,Brigitte,B.W.M.,,Troost,female,Schouwen-Duiveland,GM1676,Zeeland,PV29
117,9,43,2,Jan,J.C.,,Vos,male,Landsmeer,GM0415,Noord-Holland,PV27
118,9,44,2,Marianne,M.,,Besselink,female,Groningen,GM0014,Groningen,PV20
119,9,45,2,Wouter,W.J.,,Neerings,male,Rijswijk,GM0603,Zuid-Holland,PV28
